zone_corecrabe.nom,village.nom,fiche_acheteur.date,fiche_acheteur.collecte_poids1,nombre_sortie_vente
Mahajanga,Sambiravo,2022-09-16,5,1
Mahajanga,Sambiravo,2022-09-16,6,1
Mahajanga,Sambiravo,2022-09-16,13,2
Mahajanga,Sambiravo,2022-09-16,20,4
Mahajanga,Sambiravo,2022-09-21,2,1
Mahajanga,Sambiravo,2022-09-21,4,1
Mahajanga,Sambiravo,2022-09-21,7,2
Mahajanga,Sambiravo,2022-09-21,12,2
Mahajanga,Sambiravo,2022-09-21,23,4
Mahajanga,Sambiravo,2022-09-23,4,1
Mahajanga,Sambiravo,2022-09-23,7,1
Mahajanga,Sambiravo,2022-09-23,10,2
Mahajanga,Sambiravo,2022-09-23,19,3
Mahajanga,Sambiravo,2022-09-23,22,4
Mahajanga,Sambiravo,2022-09-24,3,1
Mahajanga,Sambiravo,2022-09-24,5,1
Mahajanga,Sambiravo,2022-09-24,9,2
Mahajanga,Sambiravo,2022-09-24,12,2
Mahajanga,Sambiravo,2022-09-24,24,4
Mahajanga,Sambiravo,2022-09-25,2,1
Mahajanga,Sambiravo,2022-09-25,5,1
Mahajanga,Sambiravo,2022-09-25,7,2
Mahajanga,Sambiravo,2022-09-25,12,2
Mahajanga,Sambiravo,2022-09-25,27,3
Mahajanga,Sambiravo,2022-09-26,2,1
Mahajanga,Sambiravo,2022-09-26,4,1
Mahajanga,Sambiravo,2022-09-26,5,1
Mahajanga,Sambiravo,2022-09-26,13,1
Mahajanga,Sambiravo,2022-09-26,19,3
Mahajanga,Sambiravo,2022-09-27,2,1
Mahajanga,Sambiravo,2022-09-27,4,1
Mahajanga,Sambiravo,2022-09-27,6,1
Mahajanga,Sambiravo,2022-09-27,7,2
Mahajanga,Sambiravo,2022-09-27,9,2
Mahajanga,Sambiravo,2022-09-27,25,4
Mahajanga,Sambiravo,2022-09-28,5,1
Mahajanga,Sambiravo,2022-09-28,6,1
Mahajanga,Sambiravo,2022-09-28,8,2
Mahajanga,Sambiravo,2022-09-28,9,3
Mahajanga,Sambiravo,2022-09-28,10,2
Mahajanga,Sambiravo,2022-09-28,27,4
Mahajanga,Sambiravo,2022-09-30,2,1
Mahajanga,Sambiravo,2022-09-30,4,1
Mahajanga,Sambiravo,2022-09-30,10,2
Mahajanga,Sambiravo,2022-10-01,3,1
Mahajanga,Sambiravo,2022-10-01,4,1
Mahajanga,Sambiravo,2022-10-03,1,1
Mahajanga,Sambiravo,2022-10-03,1,1
Mahajanga,Sambiravo,2022-10-03,4,1
Mahajanga,Sambiravo,2022-10-14,2,1
Mahajanga,Sambiravo,2022-10-14,3,2
Mahajanga,Sambiravo,2022-10-14,3,2
Mahajanga,Sambiravo,2022-10-14,10,2
Mahajanga,Sambiravo,2022-10-14,11,2
Mahajanga,Sambiravo,2022-10-14,15,3
Morombe,Ambohibe,2022-09-05,2,2
Morombe,Ambohibe,2022-09-05,3,1
Morombe,Ambohibe,2022-09-05,5,1
Morombe,Ambohibe,2022-09-05,5,2
Morombe,Ambohibe,2022-09-05,6,3
Morombe,Ambohibe,2022-09-05,7,2
Morombe,Ambohibe,2022-09-05,7,4
Morombe,Ambohibe,2022-09-05,9,4
Morombe,Ambohibe,2022-09-05,13,4
Morombe,Ambohibe,2022-09-06,1,1
Morombe,Ambohibe,2022-09-06,2,1
Morombe,Ambohibe,2022-09-06,3,1
Morombe,Ambohibe,2022-09-06,4,1
Morombe,Ambohibe,2022-09-06,5,1
Morombe,Ambohibe,2022-09-06,8,4
Morombe,Ambohibe,2022-09-06,8,4
Morombe,Ambohibe,2022-09-06,10,3
Morombe,Ambohibe,2022-09-06,10,3
Morombe,Ambohibe,2022-09-06,11,4
Morombe,Ambohibe,2022-09-08,1,1
Morombe,Ambohibe,2022-09-08,2,1
Morombe,Ambohibe,2022-09-08,3,2
Morombe,Ambohibe,2022-09-08,3,2
Morombe,Ambohibe,2022-09-08,5,1
Morombe,Ambohibe,2022-09-12,4,1
Morombe,Ambohibe,2022-09-12,4,2
Morombe,Ambohibe,2022-09-12,4,2
Morombe,Ambohibe,2022-09-12,5,1
Morombe,Ambohibe,2022-09-12,5,1
Morombe,Ambohibe,2022-09-12,6,1
Morombe,Ambohibe,2022-09-12,10,4
Morombe,Ambohibe,2022-09-12,10,4
Morombe,Ambohibe,2022-09-12,14,4
Morombe,Ambohibe,2022-09-12,17,4
Morombe,Ambohibe,2022-09-12,20,4
Morombe,Ambohibe,2022-09-13,2,2
Morombe,Ambohibe,2022-09-13,4,1
Morombe,Ambohibe,2022-09-13,4.5,1
Morombe,Ambohibe,2022-09-13,5,1
Morombe,Ambohibe,2022-09-13,6,1
Morombe,Ambohibe,2022-09-15,10,4
Morombe,Ambohibe,2022-09-15,12,4
Morombe,Ambohibe,2022-09-15,14,4
Morombe,Ambohibe,2022-09-15,16,3
Morombe,Ambohibe,2022-09-15,20,4
Morombe,Ambohibe,2022-09-16,10,4
Morombe,Ambohibe,2022-09-16,10,4
Morombe,Ambohibe,2022-09-16,11,4
Morombe,Ambohibe,2022-09-16,12,4
Morombe,Ambohibe,2022-09-16,12,4
Morombe,Ambohibe,2022-09-17,7,4
Morombe,Ambohibe,2022-09-17,9,4
Morombe,Ambohibe,2022-09-17,10,4
Morombe,Ambohibe,2022-09-17,12,4
Morombe,Ambohibe,2022-09-17,12,4
Morombe,Ambohibe,2022-09-18,2.5,1
Morombe,Ambohibe,2022-09-18,3,1
Morombe,Ambohibe,2022-09-18,3,2
Morombe,Ambohibe,2022-09-18,4,1
Morombe,Ambohibe,2022-09-18,6,2
Morombe,Ambohibe,2022-09-19,2.5,1
Morombe,Ambohibe,2022-09-19,3,1
Morombe,Ambohibe,2022-09-19,4,1
Morombe,Ambohibe,2022-09-19,5,1
Morombe,Ambohibe,2022-09-19,7,2
Morombe,Ambohibe,2022-09-26,5,1
Morombe,Ambohibe,2022-09-26,6,1
Morombe,Ambohibe,2022-09-26,6.5,1
